   Compiling clipper v0.1.0 (file:///home/eecs/crankshaw/clipper/clipper_server)
     Running `target/release/clipper feature_lats`
rpc connection established
rpc connection established
rpc connection established
got response: 0 from HUNDRED_rf in 51 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 49 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 50 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 49 ms, putting in cache
got response: 0 from TEN_rf in 49 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 50 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 50 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 52 ms, putting in cache
got response: 0 from HUNDRED_rf in 51 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 52 ms, putting in cache
got response: 0 from TEN_rf in 52 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 51 ms, putting in cache
got response: 0 from HUNDRED_rf in 50 ms, putting in cache
got response: 0 from TEN_rf in 50 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 51 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 50 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 51 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 51 ms, putting in cache
got response: 0 from HUNDRED_rf in 59 ms, putting in cache
got response: 0 from TEN_rf in 63 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 60 ms, putting in cache
got response: 0 from HUNDRED_rf in 50 ms, putting in cache
got response: 0 from TEN_rf in 51 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 50 ms, putting in cache
got response: 0 from HUNDRED_rf in 49 ms, putting in cache
got response: 0 from TEN_rf in 54 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 52 ms, putting in cache
got response: 0 from HUNDRED_rf in 52 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 49 ms, putting in cache
got response: 0 from HUNDRED_rf in 51 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 50 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 49 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 49 ms, putting in cache
got response: 0 from HUNDRED_rf in 50 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 50 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 50 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 49 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 52 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 50 ms, putting in cache
got response: 0 from HUNDRED_rf in 50 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 50 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 50 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 50 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 49 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 50 ms, putting in cache
got response: 0 from TEN_rf in 50 ms, putting in cache
got response: 0 from HUNDRED_rf in 51 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 50 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 49 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 50 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 49 ms, putting in cache
got response: 0 from TEN_rf in 52 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 51 ms, putting in cache
got response: 0 from TEN_rf in 50 ms, putting in cache
got response: 0 from HUNDRED_rf in 51 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 53 ms, putting in cache
got response: 0 from HUNDRED_rf in 53 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 49 ms, putting in cache
got response: 0 from TEN_rf in 50 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 51 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 51 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 51 ms, putting in cache
got response: 0 from TEN_rf in 51 ms, putting in cache
got response: 0 from HUNDRED_rf in 51 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 51 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 46 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 49 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 53 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 51 ms, putting in cache
got response: 0 from TEN_rf in 50 ms, putting in cache
got response: 0 from HUNDRED_rf in 51 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 49 ms, putting in cache
got response: 0 from HUNDRED_rf in 52 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 49 ms, putting in cache
got response: 0 from TEN_rf in 49 ms, putting in cache
got response: 0 from HUNDRED_rf in 50 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 49 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 51 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 50 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 49 ms, putting in cache
got response: 0 from TEN_rf in 46 ms, putting in cache
got response: 0 from HUNDRED_rf in 50 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 50 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 49 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 50 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 48 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 48 ms, putting in cache
got response: 0 from TEN_rf in 49 ms, putting in cache
got response: 0 from HUNDRED_rf in 49 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 50 ms, putting in cache
got response: 0 from TEN_rf in 49 ms, putting in cache
got response: 0 from HUNDRED_rf in 50 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 47 ms, putting in cache
got response: 0 from TEN_rf in 47 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 49 ms, putting in cache
got response: 0 from TEN_rf in 48 ms, putting in cache
got response: 0 from HUNDRED_rf in 47 ms, putting in cache
got response: 0 from FIVE_HUNDO_rf in 51 ms, putting in cache
done with requests
done with requests
done with requests
done
